Gene RTS Priority
LINC00466 0.015912789 Y
CACNA1H 0.015909942 Y
SCN5A 0.015858184 Y
DSP 0.015846133 Y
RIMS4 0.015835688 Y
CPLX2 0.015779648 Y
SMARCD3 0.015762161 Y
PLAGL1 0.01568191 Y
ZMYND15 0.015676731 Y
MAST1 0.015654964 Y
CACNA2D2 0.015642011 Y
LINC00112 0.01561563 Y
ALDH1A2 0.015566184 Y
HOTS 0.015419524 Y
KLK3 0.015380702 Y
HES2 0.015346013 Y
C20orf85 0.01513755 Y
ANKRD60 0.015052344 Y
NEURL1 0.01502113 Y
TFAP2C 0.014974913 Y
ILDR2 0.014941008 Y
RPF1 0.014816315 Y
IL20RA 0.014792001 Y
PPP1R1B 0.014747212 Y
GDF7 0.014715957 Y
RAP1GAP 0.014688849 Y
LOC101929613 0.014681949 Y
SERTAD4 0.014655162 Y
NHSL2 0.014642842 Y
GJD2 0.014620547 Y
TUNAR 0.014617228 Y
DRD2 0.014610719 Y
GRM8 0.014542257 Y
GPX5 0.014399548 Y
LOC100130370 0.014361419 Y
LAMC3 0.014299455 Y
WSCD1 0.014285319 Y
ACTRT2 0.014284059 Y
HOXD13 0.014258848 Y
PTCH1 0.014223601 Y
TTBK1 0.014197328 Y
EML1 0.014183336 Y
RAI2 0.014074896 Y
LOC400794 0.014061248 Y
TBC1D21 0.013968885 Y
LOC389332 0.013935466 Y
MN1 0.013913897 Y
ARHGAP29 0.013883321 Y
PDE4A 0.013877105 Y
LOC101929237 0.013806791 Y
CAMTA1 0.0137891 Y
PAMR1 0.013765244 Y
SFRP2 0.013751205 Y
HOXD-AS2 0.013672096 Y
MTHFSD 0.013640213 Y
ISL2 0.013580068 Y
FOXE3 0.013566307 Y
SCUBE3 0.013563192 Y
LL22NC03-63E9.3 0.013537054 Y
LOC145845 0.013443576 Y
LOC102724301 0.013305288 Y
FGD5 0.01329729 Y
THCAT155 0.013276627 Y
LOC152274 0.013193437 Y
IQSEC2 0.013183811 Y
ALDH1A3 0.012994503 Y
ASCL2 0.012933676 Y
ALK 0.012913326 Y
